title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Kabhi Khushi Kabhie Gham,Movie,2001,G,210,Romance,['IN'],,tt0248126,7.4,48818.0
Naruto Shippuden the Movie,Movie,2007,PG-13,94,Fantasy,['JP'],,tt0988982,6.7,4016.0
Naruto Shippuden the Movie,Movie,2007,PG-13,94,Animation,['JP'],,tt0988982,6.7,4016.0
Naruto Shippuden the Movie,Movie,2007,PG-13,94,Action,['JP'],,tt0988982,6.7,4016.0
Naruto Shippuden the Movie,Movie,2007,PG-13,94,Family,['JP'],,tt0988982,6.7,4016.0
Open Season 2,Movie,2008,PG,76,Comedy,['US'],,,,
Trailer Park Boys: The Movie,Movie,2006,R,95,Comedy,['CA'],,tt0425601,7.1,12831.0
Trailer Park Boys: The Movie,Movie,2006,R,95,Crime,['CA'],,tt0425601,7.1,12831.0
Jeff Dunham: Arguing with Myself,Movie,2006,PG-13,76,Comedy,['US'],,tt0806102,8.0,3984.0
Jeff Dunham: Arguing with Myself,Movie,2006,PG-13,76,Documentation,['US'],,tt0806102,8.0,3984.0
From Within,Movie,2008,R,89,Thriller,['US'],,tt1063056,5.6,7585.0
From Within,Movie,2008,R,89,Horror,['US'],,tt1063056,5.6,7585.0
From Within,Movie,2008,R,89,Documentation,['US'],,tt1063056,5.6,7585.0
From Within,Movie,2008,R,89,War,['US'],,tt1063056,5.6,7585.0
From Within,Movie,2008,R,89,European,['US'],,tt1063056,5.6,7585.0
Jodhaa Akbar,Movie,2008,PG-13,213,Romance,['IN'],,tt0449994,7.5,32188.0
Jodhaa Akbar,Movie,2008,PG-13,213,History,['IN'],,tt0449994,7.5,32188.0
Jodhaa Akbar,Movie,2008,PG-13,213,War,['IN'],,tt0449994,7.5,32188.0
Jodhaa Akbar,Movie,2008,PG-13,213,Action,['IN'],,tt0449994,7.5,32188.0
Jodhaa Akbar,Movie,2008,PG-13,213,Drama,['IN'],,tt0449994,7.5,32188.0
And Then Came Lola,Movie,2009,PG,71,Comedy,['US'],,tt1123894,3.9,1683.0
And Then Came Lola,Movie,2009,PG,71,Drama,['US'],,tt1123894,3.9,1683.0
And Then Came Lola,Movie,2009,PG,71,Romance,['US'],,tt1123894,3.9,1683.0
One on One,TV Show,2001,TV-14,20,Comedy,['US'],5.0,tt0284770,7.0,2303.0
Om Shanti Om,Movie,2007,PG,162,Comedy,['IN'],,tt1024943,6.7,42597.0
Om Shanti Om,Movie,2007,PG,162,Drama,['IN'],,tt1024943,6.7,42597.0
Om Shanti Om,Movie,2007,PG,162,Fantasy,['IN'],,tt1024943,6.7,42597.0
Om Shanti Om,Movie,2007,PG,162,Romance,['IN'],,tt1024943,6.7,42597.0
Om Shanti Om,Movie,2007,PG,162,Thriller,['IN'],,tt1024943,6.7,42597.0
Om Shanti Om,Movie,2007,PG,162,Action,['IN'],,tt1024943,6.7,42597.0
Jab We Met,Movie,2007,PG-13,138,Comedy,['IN'],,tt1093370,7.9,51945.0
Jab We Met,Movie,2007,PG-13,138,Drama,['IN'],,tt1093370,7.9,51945.0
Jab We Met,Movie,2007,PG-13,138,Romance,['IN'],,tt1093370,7.9,51945.0
The Cartel,TV Show,2008,TV-MA,44,Action,['CO'],2.0,tt1260520,8.1,755.0
The Cartel,TV Show,2008,TV-MA,44,Crime,['CO'],2.0,tt1260520,8.1,755.0
The Cartel,TV Show,2008,TV-MA,44,Drama,['CO'],2.0,tt1260520,8.1,755.0
The Cartel,TV Show,2008,TV-MA,44,Thriller,['CO'],2.0,tt1260520,8.1,755.0
The Cartel,TV Show,2008,TV-MA,44,Comedy,['CO'],2.0,tt1260520,8.1,755.0
Te quiero,Movie,2001,,85,Drama,['FR'],,tt0217085,4.8,73.0
Te quiero,Movie,2001,,85,Comedy,['FR'],,tt0217085,4.8,73.0
Te quiero,Movie,2001,,85,European,['FR'],,tt0217085,4.8,73.0
Bon Cop Bad Cop,Movie,2006,PG-13,116,Crime,['CA'],,tt0479647,6.5,61.0
Bon Cop Bad Cop,Movie,2006,PG-13,116,Scifi,['CA'],,tt0479647,6.5,61.0
Bon Cop Bad Cop,Movie,2006,PG-13,116,Drama,['CA'],,tt0479647,6.5,61.0
Bon Cop Bad Cop,Movie,2006,PG-13,116,Thriller,['CA'],,tt0479647,6.5,61.0
Bon Cop Bad Cop,Movie,2006,PG-13,116,Action,['CA'],,tt0479647,6.5,61.0
Bon Cop Bad Cop,Movie,2006,PG-13,116,Comedy,['CA'],,tt0479647,6.5,61.0
Naruto: Ninja Clash in the Land of Snow,Movie,2004,PG-13,82,Comedy,['JP'],,tt0476680,6.6,6759.0
Naruto: Ninja Clash in the Land of Snow,Movie,2004,PG-13,82,Action,['JP'],,tt0476680,6.6,6759.0
Naruto: Ninja Clash in the Land of Snow,Movie,2004,PG-13,82,Animation,['JP'],,tt0476680,6.6,6759.0
Naruto: Ninja Clash in the Land of Snow,Movie,2004,PG-13,82,Fantasy,['JP'],,tt0476680,6.6,6759.0
The Mafia Dolls,TV Show,2009,TV-14,43,Drama,['CO'],2.0,tt1585368,6.6,284.0
